path,npy,flag,box,n_dets
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_2_64__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_2_64__-Corte_-termino..mp4.npy,ok,"868,54,455",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_2_71__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_2_71__-Corte_-termino..mp4.npy,ok,"790,40,564",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_2_76__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_2_76__-Corte_-termino..mp4.npy,ok,"856,32,450",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_2_84__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_2_84__-Corte_-termino..mp4.npy,ok,"504,24,590",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_2_89__-Corte-y-termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_2_89__-Corte-y-termino..mp4.npy,ok,"798,57,650",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_2_99__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_2_99__-Corte_-termino..mp4.npy,ok,"674,8,417",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_101__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_101__-Corte_-termino..mp4.npy,ok,"709,0,923",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_109__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_109__-Corte_-termino..mp4.npy,ok,"269,0,933",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_112__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_112__-Corte_-termino..mp4.npy,ok,"302,0,676",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_121__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_121__-Corte_-termino..mp4.npy,ok,"846,6,1073",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_127__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_127__-Corte_-termino..mp4.npy,ok,"279,0,674",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_136__-Corte-y-termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_136__-Corte-y-termino..mp4.npy,ok,"874,69,988",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_149__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_149__-Corte_-termino..mp4.npy,ok,"273,0,769",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_155__-Corte-y-termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_155__-Corte-y-termino..mp4.npy,ok,"817,22,1057",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_167__-corte-y-termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_167__-corte-y-termino..mp4.npy,ok,"714,0,718",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_170__-corte-y-termino.mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_170__-corte-y-termino.mp4.npy,ok,"822,0,1080",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_173__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_173__-Corte_-termino..mp4.npy,ok,"674,0,708",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_177__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_177__-Corte_-termino..mp4.npy,ok,"675,0,597",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_184__-Corte-y-termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_184__-Corte-y-termino..mp4.npy,ok,"209,0,917",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_189__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_189__-Corte_-termino..mp4.npy,ok,"725,0,801",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_191__-corte-termino.mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_191__-corte-termino.mp4.npy,ok,"670,0,589",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_200__-Corte-y-termina..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_200__-Corte-y-termina..mp4.npy,ok,"729,0,864",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_205__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_205__-Corte_-termino..mp4.npy,ok,"670,0,824",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_215__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_215__-Corte_-termino..mp4.npy,ok,"638,0,888",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_219__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_219__-Corte_-termino..mp4.npy,ok,"314,0,665",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_224__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_224__-Corte_-termino..mp4.npy,ok,"806,7,998",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_227__-Te-termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_227__-Te-termino..mp4.npy,ok,"663,0,655",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_236__-Corto-y-termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_236__-Corto-y-termino..mp4.npy,ok,"699,0,998",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_239__-Corte-y-termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_239__-Corte-y-termino..mp4.npy,ok,"277,0,729",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_257__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_257__-Corte_-termino..mp4.npy,ok,"313,0,680",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_265__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_265__-Corte_-termino..mp4.npy,ok,"839,23,1056",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_273__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_273__-Corte_-termino..mp4.npy,ok,"662,0,1004",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_281__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_281__-Corte_-termino..mp4.npy,ok,"696,0,1070",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_288__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_288__-Corte_-termino..mp4.npy,ok,"254,0,695",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_297__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_297__-Corte_-termino..mp4.npy,ok,"291,0,728",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_312__-Corte.-Termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_312__-Corte.-Termino..mp4.npy,ok,"761,0,985",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_31__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_31__-Corte_-termino..mp4.npy,ok,"714,0,706",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_326__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_326__-Corte_-termino..mp4.npy,ok,"715,0,756",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_337__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_337__-Corte_-termino..mp4.npy,ok,"342,0,697",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_342__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_342__-Corte_-termino..mp4.npy,ok,"730,0,930",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_351__-corte,-termino.mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_351__-corte_-termino.mp4.npy,ok,"230,29,944",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_359__-corte-termina.mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_359__-corte-termina.mp4.npy,ok,"835,0,1080",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_371__-Corte.-Termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_371__-Corte.-Termino..mp4.npy,ok,"720,0,624",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_379__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_379__-Corte_-termino..mp4.npy,ok,"727,0,977",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_381__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_381__-Corte_-termino..mp4.npy,ok,"303,0,700",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_387__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_387__-Corte_-termino..mp4.npy,ok,"692,0,623",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_395__-Corte.-Termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_395__-Corte.-Termino..mp4.npy,ok,"291,0,706",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_399__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_399__-Corte_-termino..mp4.npy,ok,"708,0,804",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_404__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_404__-Corte_-termino..mp4.npy,ok,"641,0,585",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_412__-Corte.-Termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_412__-Corte.-Termino..mp4.npy,ok,"840,0,1080",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_420__-Corte.-Termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_420__-Corte.-Termino..mp4.npy,ok,"662,0,639",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_439__-Corte.-Termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_439__-Corte.-Termino..mp4.npy,ok,"272,0,794",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_454__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_454__-Corte_-termino..mp4.npy,ok,"699,0,574",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_460__-Termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_460__-Termino..mp4.npy,ok,"314,0,683",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_50__-por-mas-proposition-kuno.mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_50__-por-mas-proposition-kuno.mp4.npy,ok,"632,0,737",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_55__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_55__-Corte_-termino..mp4.npy,ok,"319,0,691",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_59__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_59__-Corte_-termino..mp4.npy,ok,"714,0,698",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_66__-Corte-y-termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_66__-Corte-y-termino..mp4.npy,ok,"838,28,1051",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_6__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_6__-Corte_-termino..mp4.npy,ok,"666,0,730",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_77__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_77__-Corte_-termino..mp4.npy,ok,"690,0,905",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_86__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_86__-Corte_-termino..mp4.npy,ok,"289,0,634",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_92__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_92__-Corte_-termino..mp4.npy,ok,"198,0,935",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_9__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_3_9__-Corte_-termino..mp4.npy,ok,"226,0,903",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_4_106__-Corte,-termino.-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_4_106__-Corte_-termino.-Corte_-termino..mp4.npy,ok,"199,0,690",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_4_112__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_4_112__-Corte_-termino..mp4.npy,ok,"283,0,578",3
/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_4_136__-Corte-y-termino..mp4,todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_4_136__-Corte-y-termino..mp4.npy,ok,"559,166,607",3
"/home/tomis/SBT/DATASETS/todo_showroom/todo_showroom/accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_4_149__-Corte,-termino..mp4",todo_showroom__todo_showroom__accion___14___showroom_ROBO_MIGUEL_1_2024-12-18_16-51-43_no_obvio_testTOMA_DE_DATOS_4_149__-Corte_-termino..mp4.npy,ok,"191,0,655",3
